host_response;response_date;number_of_messages;automated_coding;latitude;longitude;bed_type;property_type;cancellation_policy;number_guests;bedrooms;bathrooms;cleaning_fee;price;apt_rating;property_setup;city;date_sent;listing_down;number_of_listings;number_of_reviews;member_since;verified_id;host_race;super_host;host_gender;host_age;host_gender_1;host_gender_2;host_gender_3;host_race_1;host_race_2;host_race_3;guest_first_name;guest_last_name;guest_race;guest_gender;guest_id;population;whites;blacks;asians;hispanics;available_september;up_not_available_september;september_price;census_tract;host_id;new_number_of_listings
0;12.07.2015 16:09;2;0;393.288;-76.61;Real Bed;House;Flexible;2;2;2;-1;50;5;Private Room;Baltimore;12.07.2015 11:06;0;1;11;May 2014;1;white;-1;M;/young;M;M;Null;white;white;Null;Jamal;Jones;black;male;17;2033;1429;343;167;80;0;1;40;120201;16048685;1
2;12.07.2015 00:30;\N;0;393.281;-766.387;NULL;NULL;Flexible;-1;-1;-1;-1;47;5;Private Room;Baltimore;11.07.2015 20:25;0;1;38;June 2014;1;white;-1;M;young;M;M;Null;white;white;Null;Brad;Walsh;white;male;6;1955;1687;129;66;59;0;1;47;130804;17270338;1
1;12.07.2015 11:25;\N;0;392.714;-766.027;Pull-out Sofa;House;Flexible;2;2;2;-1;90;5;Private Room;Baltimore;11.07.2015 21:04;0;1;17;March 2014;1;white;-1;M;young/middle;M;M;Null;white;white;Null;Greg;O'Brien;white;male;7;2571;2373;57;76;73;0;1;90;240400;13712772;1
4;12.07.2015 11:49;2;0;392.726;-766.049;NULL;Bed and Breakfast;Flexible;4;4;4;100;175;-1;Private Room;Baltimore;12.07.2015 01:11;0;5;62;Aug 11;1;white;-1;F;young/middle;F;F;Null;white;white;Null;Brent;Baker;white;male;8;2571;2373;57;76;73;0;1;175;240400;1006179;5
0;13.07.2015 20:09;2;0;393.127;-766.349;Real Bed;Apartment;Flexible;2;2;2;-1;60;5;Private Room;Baltimore;12.07.2015 23:24;0;1;10;February 2013;1;white;-1;MF;middle;MF;MF;MF;white;hisp;white;Kareem;Robinson;black;male;22;2775;313;2370;12;60;\N;\N;\N;130200;5230403;1
2;13.07.2015 12:49;2;0;393.732;-765.963;Real Bed;House;Strict;1;1;1;-1;62;-1;Private Room;Baltimore;12.07.2015 23:27;0;2;5;March 2014;0;white;-1;F;middle;F;F;Null;white;white;Null;Kareem;Robinson;black;male;22;3567;2546;534;292;202;1;0;62;491100;13370235;1
0;12.07.2015 18:27;\N;1;393.245;-766.308;Real Bed;House;Moderate;2;2;2;50;80;5;Private Room;Baltimore;11.07.2015 21:07;0;1;9;December 2012;1;white;-1;F;young;F;F;Null;white;white;Null;Greg;O'Brien;white;male;7;3586;3207;126;128;110;\N;\N;\N;130600;4380415;1
1;12.07.2015 01:11;4;1;393.261;-76.614;Real Bed;Apartment;Strict;3;3;3;55;84;5;Private Room;Baltimore;11.07.2015 21:09;0;1;3;July 2012;1;unclear_three votes;-1;F;young/UU;F;F;M;unclear;UU;black;Greg;O'Brien;white;male;7;6224;3681;485;1709;345;1;0;118;120202;2797306;1
0;12.07.2015 13:37;2;0;393.453;-765.743;Real Bed;House;Flexible;2;2;2;-1;65;-1;Private Room;Baltimore;12.07.2015 02:35;0;3;15;December 2012;1;white;-1;M;middle/UU;M;M;Null;white;white;Null;Tanisha;Jackson;black;female;15;1914;1017;785;19;63;0;1;65;270200;4444549;3
2;12.07.2015 00:20;2;0;39.324;-766.297;NULL;Apartment;Flexible;4;4;4;30;120;-1;Entire Place;Baltimore;11.07.2015 19:45;0;1;1;July 2014;0;white;-1;F;middle;F;F;Null;white;white;Null;Anne;Murphy;white;female;2;3586;3207;126;128;110;\N;\N;\N;130600;18919766;1
0;12.07.2015 04:27;2;0;39.326;-76.628;Real Bed;House;Strict;2;2;2;-1;68;5;Private Room;Baltimore;11.07.2015 18:50;0;2;70;Aug 11;1;white;-1;F;young/middle;F;F;Null;white;white;Null;Laurie;Ryan;white;female;3;3586;3207;126;128;110;1;0;68;130600;955572;2
0;13.07.2015 12:08;\N;1;393.355;-766.263;Real Bed;House;Flexible;2;2;2;-1;90;5;Private Room;Baltimore;12.07.2015 23:30;0;1;7;January 2014;1;white;-1;M;old/middle;M;M;Null;white;white;Null;Kareem;Robinson;black;male;22;5192;4337;451;219;167;0;1;90;130700;11580966;1
0;13.07.2015 12:20;2;0;392.742;-766.103;NULL;House;Flexible;4;4;4;-1;150;04. Mai;Entire Place;Baltimore;12.07.2015 12:19;0;1;10;Nov 14;0;white;-1;FF;young;FF;FF;Null;white;white;Null;Latonya;Robinson;black;female;12;2141;1968;67;64;63;0;1;150;240300;23821376;1
0;13.07.2015 16:56;\N;0;393.021;-767.526;NULL;House;Moderate;4;4;4;-1;60;5;Private Room;Baltimore;12.07.2015 15:37;0;1;4;December 2013;1;NA;-1;NA;NA;NA;NA;Null;NA;NA;Null;Allison;Sullivan;white;female;1;4039;1384;1817;490;313;1;0;45;401505;10715056;1
0;12.07.2015 01:30;2;0;393.607;-766.686;Real Bed;House;Flexible;1;1;1;15;40;-1;Private Room;Baltimore;11.07.2015 19:47;0;2;4;June 2013;1;white;-1;F;middle;F;F;Null;white;white;Null;Anne;Murphy;white;female;2;4183;3421;429;170;115;0;1;40;271501;7118974;1
0;12.07.2015 22:43;2;0;393.611;-766.673;NULL;House;Flexible;2;2;2;-1;80;5;Private Room;Baltimore;12.07.2015 11:23;0;1;13;March 2014;1;white;-1;MF;middle;MF;MF;Null;white;white;Null;Jamal;Jones;black;male;17;4183;3421;429;170;115;0;1;80;271501;13678797;1
10;12.07.2015 10:47;2;0;393.044;-766.174;Real Bed;Apartment;Flexible;2;2;2;100;99;04. Mai;Entire Place;Baltimore;11.07.2015 19:50;0;1;9;January 2014;1;white;-1;M;young/middle;M;M;Null;white;white;Null;Anne;Murphy;white;female;2;5072;3017;1347;422;240;0;1;99;110200;11662784;1
0;12.07.2015 19:45;\N;1;393.236;-766.132;NULL;House;Flexible;5;5;5;-1;125;-1;Entire Place;Baltimore;11.07.2015 18:53;0;1;0;July 2015;0;white;-1;F;young;F;F;Null;white;white;Null;Laurie;Ryan;white;female;3;2033;1429;343;167;80;0;1;125;120201;37734838;1
11;14.07.2015 09:48;\N;0;393.042;-766.129;Real Bed;House;Strict;2;2;2;-1;150;5;Entire Place;Baltimore;13.07.2015 00:21;0;3;45;July 2012;0;white;-1;M;young;M;M;Null;white;white;Null;Leroy;Washington;black;male;23;3223;1965;754;349;155;0;1;150;110100;2991637;1
-1;\N;\N;1;392.864;-766.387;Real Bed;Apartment;Flexible;3;3;3;20;60;-1;Private Room;Baltimore;12.07.2015 04:53;0;1;1;October 2014;0;black;-1;M;young/middle;M;M;Null;black;black;Null;Latoya;Williams;black;female;13;1920;604;1068;34;175;\N;\N;\N;190200;22480041;1
6;11.07.2015 21:53;2;0;393.554;-766.129;Real Bed;House;Moderate;2;2;2;-1;95;-1;Private Room;Baltimore;11.07.2015 17:51;0;7;47;July 2012;0;unclear_three votes;-1;FF;young;FF;FF;FF;mult;black;UU;Kristen;Sullivan;white;female;4;6103;5080;643;208;155;\N;\N;\N;271200;2914014;1
8;12.07.2015 21:02;4;0;392.742;-766.028;Real Bed;House;Strict;2;2;2;50;80;-1;Private Room;Baltimore;12.07.2015 16:47;0;3;23;December 2012;1;white;-1;M;old/middle;M;M;Null;white;white;Null;Jay;Murphy;white;male;21;2564;2284;103;108;80;0;1;80;240200;4305054;2
0;13.07.2015 21:19;\N;1;392.897;-765.857;Real Bed;House;Moderate;2;2;2;55;95;5;Entire Place;Baltimore;12.07.2015 03:26;0;1;10;Aug 11;1;black;-1;F;young;F;F;F;black;asian;black;Tamika;Williams;black;female;14;1724;1444;85;53;185;\N;\N;\N;10500;917213;1
0;12.07.2015 12:33;2;0;39.287;-765.909;Real Bed;House;Flexible;2;2;2;-1;89;-1;Private Room;Baltimore;12.07.2015 04:56;0;1;1;March 2013;0;white;-1;MF;young;MF;mix;MF;white;white;white;Latoya;Williams;black;female;13;2087;1204;310;133;700;1;0;75;20200;5366682;1
10;14.07.2015 23:53;2;0;393.268;-766.061;Real Bed;House;Flexible;2;2;2;-1;55;04. Mai;Private Room;Baltimore;12.07.2015 15:40;0;1;57;January 2009;0;white;-1;F;middle;F;F;Null;white;white;Null;Allison;Sullivan;white;female;1;1964;237;1623;28;70;\N;\N;\N;90500;6370;1
0;12.07.2015 05:07;\N;1;39.322;-766.142;Real Bed;House;Strict;2;2;2;35;58;-1;Private Room;Baltimore;12.07.2015 00:34;0;9;57;July 2014;1;white;-1;NA;NA;NA;NA;Null;white;white;Null;Brent;Baker;white;male;8;3552;1210;2089;110;115;1;0;83;120300;18067852;3
0;13.07.2015 03:14;\N;1;393.313;-766.534;Real Bed;House;Strict;2;2;2;-1;45;-1;Private Room;Baltimore;12.07.2015 16:35;0;1;0;March 2015;1;white;-1;F;young;F;F;Null;white;white;Null;Jay;Murphy;white;male;21;1431;977;350;31;56;1;0;45;130806;28662114;1
0;11.07.2015 20:17;\N;1;393.874;-766.832;Real Bed;Apartment;Moderate;2;2;2;69;43;-1;Private Room;Baltimore;11.07.2015 16:01;0;1;5;Apr 14;1;white;-1;F;young;F;F;Null;white;white;Null;Meredith;O'Brien;white;female;5;3131;2919;101;92;27;0;1;43;403803;14274554;1
0;12.07.2015 14:59;2;1;391.996;-76.659;Real Bed;House;Flexible;1;1;1;-1;100;-1;Private Room;Baltimore;12.07.2015 00:56;0;7;4;Aug 12;0;white;-1;F;middle;F;F;Null;white;white;Null;Brent;Baker;white;male;8;3891;3557;137;101;97;\N;\N;\N;751200;3237261;2
-1;14.07.2015 03:32;2;1;392.924;-765.744;Real Bed;House;Flexible;2;2;2;-1;65;5;Private Room;Baltimore;12.07.2015 23:32;0;1;13;Aug 13;1;white;-1;MF;middle/UU;MF;MF;Null;white;white;Null;Kareem;Robinson;black;male;22;3222;1104;1543;61;818;1;0;65;60100;8440754;1
1;11.07.2015 20:12;\N;1;392.993;-766.187;Real Bed;House;Moderate;2;2;2;10;85;04. Mai;Private Room;Baltimore;11.07.2015 16:03;0;1;12;May 2011;1;white;-1;F;young;F;F;Null;white;white;Null;Meredith;O'Brien;white;female;5;5072;3017;1347;422;240;0;1;85;110200;599780;1
10;13.07.2015 15:19;\N;0;393.244;-766.152;Real Bed;House;Flexible;2;2;2;10;70;-1;Private Room;Baltimore;12.07.2015 03:59;0;3;4;Apr 13;0;NA;-1;NA;NA;NA;NA;Null;NA;NA;Null;Jermaine;Jones;black;male;18;6224;3681;485;1709;345;\N;\N;\N;120202;6005338;2
10;13.07.2015 17:49;\N;0;392.797;-765.768;Real Bed;Apartment;Flexible;2;2;2;-1;80;-1;Private Room;Baltimore;12.07.2015 16:38;0;1;0;June 2015;1;white;-1;MF;middle;MF;MF;Null;white;white;Null;Jay;Murphy;white;male;21;3022;2742;125;66;102;1;0;120;10100;35313098;1
0;13.07.2015 20:41;\N;1;392.898;-766.209;Real Bed;Apartment;Strict;4;4;4;30;90;04. Mai;Entire Place;Baltimore;12.07.2015 13:37;0;1;40;Apr 13;1;black;-1;M;young;M;M;Null;black;black;Null;Lakisha;Jones;black;female;11;4006;1985;985;835;225;1;0;155;40100;6066325;1
1;12.07.2015 21:41;2;0;393.466;-766.289;Real Bed;House;Strict;2;2;2;-1;50;5;Private Room;Baltimore;12.07.2015 13:40;0;1;10;Aug 13;1;white;-1;MF;young;MF;MF;Null;white;white;Null;Lakisha;Jones;black;female;11;3730;2904;301;393;115;1;0;80;271400;8071378;1
1;12.07.2015 20:06;\N;1;393.629;-765.434;Real Bed;House;Strict;1;-1;1;-1;65;04. Mai;Private Room;Baltimore;12.07.2015 15:43;0;1;3;January 2012;0;NA;-1;NA;NA;NA;NA;Null;NA;NA;Null;Allison;Sullivan;white;female;1;4420;2842;1380;44;178;\N;\N;\N;270501;1565713;1
1;13.07.2015 12:55;\N;1;393.317;-766.134;Real Bed;House;Flexible;2;2;2;-1;65;-1;Private Room;Baltimore;12.07.2015 23:35;0;3;14;June 2012;1;white;-1;F;young/middle;F;F;Null;white;white;Null;Kareem;Robinson;black;male;22;2033;1429;343;167;80;0;1;65;120201;2553662;1
1;12.07.2015 15:42;\N;1;39.336;-766.363;NULL;Apartment;Moderate;4;4;4;10;80;-1;Private Room;Baltimore;12.07.2015 01:38;0;1;0;Apr 15;0;white;-1;F;middle;F;F;Null;white;white;Null;Todd;McCarthy;white;male;10;5192;4337;451;219;167;0;1;80;130700;31131982;1
0;13.07.2015 16:07;\N;1;393.006;-765.904;Real Bed;Apartment;Flexible;2;2;2;-1;40;-1;Private Room;Baltimore;12.07.2015 11:26;0;1;0;January 2015;0;black;-1;F;young;F;F;Null;black;black;Null;Jamal;Jones;black;male;17;1241;18;1200;12;11;0;1;40;70400;26987570;1
1;13.07.2015 12:00;3;1;392.982;-765.852;NULL;House;Flexible;6;6;6;-1;75;-1;Private Room;Baltimore;11.07.2015 17:53;0;1;0;May 2015;0;black;-1;F;young/middle;F;F;Null;black;black;Null;Kristen;Sullivan;white;female;4;1042;51;951;11;40;0;1;120;70300;33876612;1
2;11.07.2015 23:00;2;0;392.968;-766.178;Real Bed;Apartment;Moderate;2;2;2;25;95;-1;Private Room;Baltimore;11.07.2015 18:55;0;1;1;Nov 14;1;mult;-1;MM;young;MM;MM;Null;mult;mult;Null;Laurie;Ryan;white;female;3;5072;3017;1347;422;240;1;0;108;110200;23708863;1
1;11.07.2015 22:58;3;0;392.932;-765.739;Real Bed;House;Flexible;2;2;2;-1;55;-1;Private Room;Baltimore;11.07.2015 18:58;0;1;0;June 2015;1;white;-1;M;young;M;M;Null;white;white;Null;Laurie;Ryan;white;female;3;3222;1104;1543;61;818;1;0;59;60100;36727157;1
0;12.07.2015 14:36;2;1;392.856;-765.762;Real Bed;House;Flexible;2;2;2;-1;70;-1;Private Room;Baltimore;12.07.2015 03:29;0;1;0;February 2015;1;black;-1;M;middle/young;M;M;Null;black;black;Null;Tamika;Williams;black;female;14;3009;2269;292;72;489;1;0;79;10200;27292553;1
0;15.07.2015 21:10;\N;0;392.805;-765.895;Real Bed;Apartment;Strict;2;2;2;50;100;-1;Private Room;Baltimore;12.07.2015 23:38;0;3;23;October 2011;1;white;-1;F;middle/young;F;F;Null;white;white;Null;Kareem;Robinson;black;male;22;3344;2824;148;171;243;\N;\N;\N;20300;1326310;2
0;12.07.2015 15:08;\N;1;393.204;-766.156;Real Bed;House;Moderate;2;2;2;-1;120;-1;Private Room;Baltimore;12.07.2015 03:32;0;3;8;Apr 15;0;white;-1;MF;middle;MF;MF;Null;white;white;Null;Tamika;Williams;black;female;14;3269;1082;1749;214;185;0;1;120;120600;31229825;2
0;12.07.2015 10:42;2;0;392.912;-765.874;Real Bed;Bed and Breakfast;Strict;2;2;2;-1;149;-1;Private Room;Baltimore;12.07.2015 02:38;0;1;0;Nov 09;0;NA;-1;NA;NA;NA;UU;NA;NA;NA;NA;Tanisha;Jackson;black;female;15;1884;1465;184;59;239;0;1;149;20100;55710;1
2;12.07.2015 13:11;\N;0;393.275;-76.614;NULL;Apartment;Moderate;4;4;4;-1;145;-1;Entire Place;Baltimore;12.07.2015 00:37;0;1;1;January 2014;1;white;-1;F;middle/young;F;F;Null;white;white;Null;Brent;Baker;white;male;8;6224;3681;485;1709;345;0;1;145;120202;11216400;1
0;12.07.2015 00:30;\N;1;393.579;-766.078;Real Bed;House;Strict;2;2;2;35;40;-1;Private Room;Baltimore;11.07.2015 20:28;0;4;25;Aug 12;1;unclear_three votes;-1;M;young;M;M;M;mult;white;black;Brad;Walsh;white;male;6;4952;551;4234;32;79;\N;\N;\N;270805;3167769;1
10;12.07.2015 23:31;2;0;392.923;-765.747;Real Bed;House;Flexible;2;2;2;-1;80;-1;Private Room;Baltimore;11.07.2015 19:01;0;2;1;Nov 14;1;white;-1;MF;middle;MF;MF;Null;white;white;Null;Laurie;Ryan;white;female;3;3222;1104;1543;61;818;1;0;80;60100;24328326;1
4;11.07.2015 20:14;4;0;392.838;-765.937;NULL;Apartment;Flexible;2;2;2;-1;75;-1;Shared Room;Baltimore;11.07.2015 16:11;0;1;2;March 2015;0;white;-1;M;middle/young;M;M;Null;white;white;Null;Meredith;O'Brien;white;female;5;3344;2824;148;171;243;\N;\N;\N;20300;29515173;1
1;12.07.2015 15:11;2;0;39.355;-766.327;NULL;Apartment;Flexible;6;6;6;-1;200;-1;Entire Place;Baltimore;12.07.2015 00:40;0;3;39;May 2014;1;black;-1;M;middle;M;M;Null;black;black;Null;Brent;Baker;white;male;8;2791;2213;200;308;60;0;1;200;271300;15049077;1
0;11.07.2015 20:23;2;0;393.246;-766.153;Real Bed;Apartment;Flexible;2;2;2;-1;50;-1;Private Room;Baltimore;11.07.2015 16:22;0;1;1;March 2015;1;UU;-1;F;young;F;F;F;UU;asian;UU;Meredith;O'Brien;white;female;5;6224;3681;485;1709;345;\N;\N;\N;120202;29415055;1
10;12.07.2015 16:51;3;0;392.633;-767.018;Real Bed;House;Flexible;2;2;2;-1;60;-1;Private Room;Baltimore;12.07.2015 11:28;0;2;0;March 2015;1;hisp;-1;F;middle;F;F;F;black;hisp;hisp;Jamal;Jones;black;male;17;5074;2574;997;1256;231;0;1;75;430900;29711912;1
1;13.07.2015 09:56;\N;1;393.212;-765.666;NULL;House;Strict;4;4;4;120;102;-1;Entire Place;Baltimore;12.07.2015 23:41;0;1;2;July 2014;1;UU;-1;FF;young/UU;FF;FF;UU;asian;UU;UU;Kareem;Robinson;black;male;22;4933;343;4486;15;59;0;1;102;260301;18225566;1
4;16.07.2015 11:58;3;0;392.803;-767.034;Real Bed;Apartment;Moderate;1;1;1;20;95;-1;Private Room;Baltimore;11.07.2015 21:12;0;1;0;January 2015;1;black;-1;F;young;F;F;Null;black;black;Null;Greg;O'Brien;white;male;7;3626;311;3188;29;79;1;0;100;250101;26941024;1
0;12.07.2015 11:05;\N;1;393.226;-766.157;Airbed;Apartment;Moderate;2;2;2;35;42;5;Private Room;Baltimore;12.07.2015 00:53;0;1;4;July 2014;0;white;-1;M;middle/young;M;M;Null;white;white;Null;Brent;Baker;white;male;8;3552;1210;2089;110;115;0;1;42;120300;17876406;1
-1;\N;\N;1;393.057;-766.308;Couch;House;Flexible;2;2;2;-1;85;-1;Shared Room;Baltimore;12.07.2015 04:05;0;1;0;Apr 15;1;unclear_three votes;-1;unclear_three votes;young/middle;MF;FF;MM;asian;black;unclear;Jermaine;Jones;black;male;18;2853;101;2689;5;46;1;0;85;140200;31742861;1
0;12.07.2015 19:56;\N;1;392.988;-76.586;Real Bed;House;Strict;1;1;1;-1;45;-1;Private Room;Baltimore;12.07.2015 04:08;0;2;3;Sep 14;1;black;-1;M;middle;M;M;Null;black;black;Null;Jermaine;Jones;black;male;18;1042;51;951;11;40;1;0;45;70300;21842938;1
0;12.07.2015 21:31;2;1;392.825;-766.018;Couch;Apartment;Flexible;1;1;1;-1;50;-1;Shared Room;Baltimore;12.07.2015 12:21;0;1;0;June 2015;0;hisp;-1;M;young;M;M;Null;hisp;hisp;Null;Latonya;Robinson;black;female;12;2342;1265;789;165;147;1;0;50;30200;35089383;1
0;12.07.2015 16:36;\N;1;393.002;-766.138;Real Bed;Apartment;Moderate;1;1;1;5;37;-1;Private Room;Baltimore;12.07.2015 04:11;0;3;6;Aug 14;1;asian;-1;FF;young;FF;FF;Null;asian;asian;Null;Jermaine;Jones;black;male;18;3223;1965;754;349;155;0;1;37;110100;19538256;2
0;13.07.2015 00:37;\N;1;392.723;-766.115;Real Bed;Undefined;Flexible;1;1;1;50;50;-1;Private Room;Baltimore;12.07.2015 13:09;0;1;0;Aug 14;0;white;-1;F;young/UU;M;F;F;white;white;white;Darnell;Jackson;black;male;16;2571;2373;57;76;73;\N;\N;\N;240400;20232325;1
1;12.07.2015 12:08;2;1;393.587;-767.091;Real Bed;House;Flexible;1;1;1;-1;60;-1;Private Room;Baltimore;11.07.2015 20:31;0;1;0;June 2015;1;black;-1;F;middle;F;F;Null;black;black;Null;Brad;Walsh;white;male;6;3226;170;2897;31;122;1;0;60;280101;35881746;1
2;11.07.2015 23:51;3;0;392.627;-767.026;Real Bed;House;Moderate;2;2;2;10;60;-1;Private Room;Baltimore;11.07.2015 16:25;0;1;3;Aug 13;1;asian;-1;M;young/middle;M;M;M;asian;UU;asian;Meredith;O'Brien;white;female;5;5074;2574;997;1256;231;\N;\N;\N;430900;8035432;1
2;13.07.2015 03:31;3;0;393.382;-76.594;NULL;House;Strict;2;-1;2;42;79;-1;Private Room;Baltimore;12.07.2015 03:35;0;1;1;March 2012;1;black;-1;F;middle;F;F;Null;black;black;Null;Tamika;Williams;black;female;14;3243;505;2602;30;52;1;0;105;90200;1888420;1
9;14.07.2015 12:33;2;0;392.775;-766.147;NULL;House;Strict;4;4;4;75;170;4;Entire Place;Baltimore;12.07.2015 11:55;0;6;12;February 2014;0;white;-1;MF;middle;MF;MF;Null;white;white;Null;Jamal;Jones;black;male;17;1953;1197;632;46;63;0;1;170;230100;12048879;3
-1;\N;\N;1;393.669;-765.822;Real Bed;Apartment;Flexible;2;2;2;-1;60;-1;Private Room;Baltimore;12.07.2015 04:59;0;1;1;December 2012;1;black;-1;M;young;M;M;Null;black;black;Null;Latoya;Williams;black;female;13;6268;517;5513;122;111;1;0;60;270803;4423037;1
0;12.07.2015 18:32;2;0;393.391;-765.583;Real Bed;House;Flexible;1;1;1;5;55;-1;Private Room;Baltimore;12.07.2015 13:46;0;1;0;February 2014;1;white;-1;F;middle;F;F;FF;hisp;white;white;Lakisha;Jones;black;female;11;3749;920;2676;20;65;0;1;55;270102;12050434;1
1;12.07.2015 01:51;\N;0;393.122;-766.275;Real Bed;Bed and Breakfast;Flexible;2;2;2;-1;135;-1;Private Room;Baltimore;11.07.2015 20:34;0;1;1;Apr 15;1;white;-1;M;old;M;M;Null;white;white;Null;Brad;Walsh;white;male;6;2775;313;2370;12;60;1;0;135;130200;30605510;1
14;\N;\N;1;393.622;-766.473;Real Bed;Apartment;Flexible;2;2;2;-1;45;-1;Private Room;Baltimore;\N;0;1;9;Aug 12;1;NA;-1;NA;NA/UU;NA;UU;NA;NA;NA;NA;Allison;Sullivan;white;female;1;4183;3421;429;170;115;\N;\N;\N;271501;3218618;1
0;13.07.2015 12:04;\N;0;393.669;-766.058;Futon;House;Flexible;2;2;2;25;65;5;Private Room;Baltimore;12.07.2015 23:44;0;3;45;June 2012;1;white;-1;F;young/middle;F;F;Null;white;white;Null;Kareem;Robinson;black;male;22;2804;1324;1166;102;209;\N;\N;\N;270804;2619510;2
1;12.07.2015 14:07;2;0;393.336;-766.043;Real Bed;House;Flexible;2;2;2;-1;75;-1;Private Room;Baltimore;11.07.2015 19:04;0;1;0;January 2015;0;black;-1;F;young/middle;F;F;F;black;white;black;Laurie;Ryan;white;female;3;4203;838;3147;89;86;1;0;53;90300;25819289;1
0;11.07.2015 23:19;2;0;392.797;-766.854;Couch;House;Flexible;1;1;1;10;100;04. Mai;Shared Room;Baltimore;11.07.2015 19:06;0;2;10;July 2011;1;black;-1;F;middle/young;F;M;F;black;black;black;Laurie;Ryan;white;female;3;2282;262;1940;11;27;\N;\N;\N;200800;812668;1
0;13.07.2015 13:02;2;0;392.816;-767.118;Real Bed;House;Flexible;1;1;1;-1;75;-1;Private Room;Baltimore;12.07.2015 05:02;0;1;0;May 2013;0;NA;-1;NA;NA;NA;NA;Null;NA;NA;Null;Latoya;Williams;black;female;13;2871;2155;472;126;106;1;0;75;400600;6453655;1
-1;\N;\N;1;393.516;-765.707;Real Bed;House;Flexible;2;2;2;-1;65;-1;Private Room;Baltimore;12.07.2015 04:14;0;1;0;Nov 14;1;white;-1;M;middle/young;M;M;Null;white;white;Null;Jermaine;Jones;black;male;18;3148;1055;1939;36;73;\N;\N;\N;270301;23972668;1
-1;\N;\N;1;39.288;-766.234;Real Bed;Apartment;Flexible;1;1;1;-1;89;04. Mai;Private Room;Baltimore;12.07.2015 23:47;0;1;13;October 2011;0;white;-1;FF;middle/young;FF;FF;Null;white;white;Null;Kareem;Robinson;black;male;22;838;384;239;169;21;\N;\N;\N;40200;1253645;1
0;14.07.2015 12:40;2;0;392.977;-766.173;Real Bed;Apartment;Flexible;2;2;2;-1;75;-1;Private Room;Baltimore;13.07.2015 00:24;0;1;1;June 2013;1;white;-1;M;young;M;M;Null;white;white;Null;Leroy;Washington;black;male;23;5072;3017;1347;422;240;0;1;125;110200;6949190;1
0;13.07.2015 15:26;\N;0;393.334;-766.087;Real Bed;House;Moderate;1;1;1;-1;48;5;Private Room;Baltimore;12.07.2015 04:17;0;1;3;June 2014;0;white;-1;F;young;F;F;F;white;unclear;white;Jermaine;Jones;black;male;18;4203;838;3147;89;86;1;0;48;90300;16614114;1
14;\N;\N;1;392.924;-766.165;Real Bed;Apartment;Flexible;3;3;3;20;100;-1;Entire Place;Baltimore;\N;0;1;1;June 2015;1;white;-1;M;young;M;M;Null;white;white;Null;Lakisha;Jones;black;female;11;4006;1985;985;835;225;\N;\N;\N;40100;35661221;1
0;13.07.2015 00:17;\N;0;392.601;-76.713;NULL;Apartment;Flexible;1;-1;1;-1;100;-1;Shared Room;Baltimore;12.07.2015 04:20;0;1;0;December 2012;0;white;-1;MM;young;MM;MM;MM;white;mult;white;Jermaine;Jones;black;male;18;3807;2003;932;665;145;1;0;100;492500;4470830;1
4;12.07.2015 10:11;2;0;392.171;-766.455;Real Bed;House;Moderate;2;2;2;-1;100;-1;Private Room;Baltimore;12.07.2015 02:41;0;2;134;February 2012;1;unclear_three votes;-1;MF;middle;MF;MF;MF;unclear;black;white;Tanisha;Jackson;black;female;15;2655;2198;157;162;102;1;0;100;750300;1762414;2
0;12.07.2015 18:04;2;0;393.343;-766.357;NULL;House;Strict;6;6;6;-1;110;04. Mai;Private Room;Baltimore;12.07.2015 13:11;0;3;281;October 2012;1;white;-1;F;young;F;F;Null;white;white;Null;Darnell;Jackson;black;male;16;5192;4337;451;219;167;1;0;110;130700;3887995;1
-1;\N;\N;1;393.038;-766.283;Real Bed;House;Flexible;2;2;2;-1;80;-1;Entire Place;Baltimore;12.07.2015 15:48;0;1;1;February 2014;1;white;-1;F;young;F;F;Null;white;white;Null;Allison;Sullivan;white;female;1;2853;101;2689;5;46;\N;\N;\N;140200;11838727;1
0;12.07.2015 19:25;\N;0;392.926;-765.809;NULL;House;Strict;10;10;10;50;129;-1;Entire Place;Baltimore;11.07.2015 17:56;0;1;1;January 2013;1;mult;-1;MF;young;MF;MF;Null;mult;mult;Null;Kristen;Sullivan;white;female;4;3265;1209;1634;70;585;0;1;129;60200;4639231;1
-1;\N;\N;1;393.478;-766.117;Real Bed;House;Moderate;2;2;2;-1;50;-1;Private Room;Baltimore;12.07.2015 15:51;0;1;0;May 2015;1;NA;-1;NA;NA;NA;NA;Null;NA;NA;Null;Allison;Sullivan;white;female;1;2046;1171;704;108;61;\N;\N;\N;271101;34076380;1
2;11.07.2015 23:11;4;0;391.967;-766.541;Pull-out Sofa;Apartment;Flexible;2;2;2;-1;62;5;Entire Place;Baltimore;11.07.2015 19:09;0;1;55;June 2012;1;white;-1;M;middle;M;M;Null;white;white;Null;Laurie;Ryan;white;female;3;4090;3677;128;175;85;1;0;67;750400;2638664;1
1;12.07.2015 00:46;\N;1;394.098;-765.841;Real Bed;House;Flexible;2;2;2;-1;60;5;Private Room;Baltimore;11.07.2015 19:12;0;1;7;January 2015;0;white;-1;F;middle/old;F;F;Null;white;white;Null;Laurie;Ryan;white;female;3;3668;2949;336;260;110;0;1;60;490302;25953536;1
